user_id,username,phone_number,display_name,profile_db_path,first_seen,last_updated,is_active,first_name,last_name,is_bot,is_fake,is_self,is_scam,is_verified,deleted,restricted
300860929,SangMata_BOT,,SangMata None,user_profiles.db,2025-08-27 19:23:18.950071,2025-09-04 08:31:01.261833,1,SangMata,,1,0,0,0,0,0,0
523411912,Danny_nguyen_288,,Danny Nguyen,user_profiles.db,2025-08-27 23:11:37.334160,2025-08-27 23:11:37.334166,1,Danny,Nguyen,0,0,0,0,0,0,0
590437446,timoutw0rld,,Timur None,user_profiles.db,2025-08-27 23:44:36.452948,2025-08-27 23:44:36.452953,1,Timur,,0,0,0,0,0,0,0
609517172,MissRose_bot,,Rose None,user_profiles.db,2025-08-30 11:33:22.084759,2025-08-30 12:16:53.513301,1,Rose,,1,0,0,0,0,0,0
620565940,SaveYoutubeBot,,Скачать видео из Ютуба None,user_profiles.db,2025-08-27 23:33:18.772252,2025-08-27 23:33:18.772261,1,Скачать видео из Ютуба,,1,0,0,0,0,0,0
631357712,chachapapa,,Nha Dam,user_profiles.db,2025-08-27 23:06:16.323416,2025-08-27 23:06:16.323422,1,Nha,Dam,0,0,0,0,0,0,0
640675369,thanquocduy,,Hàn Lập Drops💧 None,user_profiles.db,2025-08-27 23:37:58.730967,2025-08-27 23:37:58.730974,1,Hàn Lập Drops💧,,0,0,0,0,0,0,0
651288557,hoangson6799,,son nguyen,user_profiles.db,2025-08-27 23:39:55.659267,2025-08-27 23:39:55.659275,1,son,nguyen,0,0,0,0,0,0,0
652901137,,,Bao Bao Tran,user_profiles.db,2025-08-27 23:45:10.334773,2025-08-27 23:45:10.334780,1,Bao Bao,Tran,0,0,0,0,0,0,0
670001596,,,Kinh Kong None,user_profiles.db,2025-08-27 19:45:37.621939,2025-09-04 08:31:27.393268,1,Kinh Kong,,0,0,0,0,0,0,0
696589598,sainep91,,Saisg None,user_profiles.db,2025-08-27 23:44:33.203595,2025-08-27 23:44:33.203604,1,Saisg,,0,0,0,0,0,0,0
809350770,y0kmyt,,Mèo biết sủa 😶‍🌫️ None,user_profiles.db,2025-08-27 23:29:14.396847,2025-08-27 23:29:14.396855,1,Mèo biết sủa 😶‍🌫️,,0,0,0,0,0,0,0
816909544,dotrungbk,,Trung Do,user_profiles.db,2025-08-27 23:41:30.222080,2025-08-27 23:41:30.222096,1,Trung,Do,0,0,0,0,0,0,0
822415084,zodiac0560,,D. Greay,user_profiles.db,2025-08-27 23:44:04.256716,2025-08-27 23:44:04.256725,1,D.,Greay,0,0,0,0,0,0,0
822906395,,,Nguyễn Đức,user_profiles.db,2025-08-27 19:42:36.307252,2025-08-27 23:02:57.674807,1,Nguyễn,Đức,0,0,0,0,0,0,0
883665237,hai_trung94,,ProX 🐾,user_profiles.db,2025-08-27 23:06:11.987717,2025-09-04 08:30:51.509823,1,ProX,🐾,0,0,0,0,0,0,0
889839684,TgTranslatorBot,,Translator None,user_profiles.db,2025-08-27 00:06:00.255280,2025-09-04 08:30:37.698343,1,Translator,,1,0,0,0,0,0,0
895710180,dung11112,,Rose Davi,user_profiles.db,2025-08-27 23:26:46.279257,2025-08-27 23:26:46.279264,1,Rose,Davi,0,0,0,0,0,0,0
898573364,,,Độc Cô Cầu Bại None,user_profiles.db,2025-08-27 23:42:58.149745,2025-08-27 23:42:58.149754,1,Độc Cô Cầu Bại,,0,0,0,0,0,0,0
901661463,AlFaRay_03,,Alfaryh None,user_profiles.db,2025-08-27 19:53:57.965567,2025-08-27 19:53:57.965575,1,,,0,0,0,0,0,0,0
905372402,traigoi93,,Trai Goi,user_profiles.db,2025-08-27 23:05:30.616554,2025-08-27 23:05:30.616570,1,Trai,Goi,0,0,0,0,0,0,0
914217836,N0Namel,,Kana Kok,user_profiles.db,2025-08-27 23:17:08.154687,2025-08-27 23:17:08.154692,1,Kana,Kok,0,0,0,0,0,0,0
949752747,nambean,,NamLH Inviv ☁️,user_profiles.db,2025-08-27 23:41:01.457878,2025-08-27 23:41:01.457886,1,NamLH Inviv,☁️,0,0,0,0,0,0,0
957516652,,,None None,user_profiles.db,2025-08-27 23:40:29.024084,2025-08-27 23:40:29.024091,1,,,0,0,0,0,0,0,0
965163053,,,Big Evil,user_profiles.db,2025-09-04 09:21:59.471619,2025-09-04 09:21:59.471630,1,Big,Evil,0,0,0,0,0,0,0
965508076,,84869270038,Minh Vuz,user_profiles.db,2025-08-27 23:44:39.212911,2025-08-27 23:44:39.212918,1,Minh,Vuz,0,0,0,0,0,0,0
971620677,,,Wonp Wonp,user_profiles.db,2025-08-27 19:55:29.011201,2025-08-27 19:55:29.011208,1,,,0,0,0,0,0,0,0
973769655,,,Tuân Trân,user_profiles.db,2025-08-27 23:40:23.459174,2025-08-27 23:40:23.459181,1,Tuân,Trân,0,0,0,0,0,0,0
976488354,,,Long Nguyen Van,user_profiles.db,2025-08-27 23:03:49.691005,2025-08-27 23:03:49.691022,1,Long,Nguyen Van,0,0,0,0,0,0,0
994559341,LeeDattebayop,,Po None,user_profiles.db,2025-08-27 19:56:26.418721,2025-08-27 23:08:14.374085,1,Po,,0,0,0,0,0,0,0
998623661,,,Dương Quá None,user_profiles.db,2025-08-27 23:38:59.410999,2025-08-27 23:38:59.411005,1,Dương Quá,,0,0,0,0,0,0,0
